order_id,customer_name,product_category,payment_method,order_status,quantity,unit_price,region
ORD0001,Sophia Lim,Sports,Cash,Processing,15,74.07,North
ORD0002,Benjamin Ng,Home,PayPal,Pending,2,51.38,South
ORD0003,Samuel Carter,Electronics,Bank Transfer,Processing,46,326.69,Central
ORD0004,Aaron Jones,Books,Bank Transfer,Shipped,1,380.6,South
ORD0005,Madison Taylor,Food,Debit Card,Processing,49,171.61,North
ORD0006,Jason Chua,Food,Cash,Cancelled,17,404.52,West
ORD0007,Benjamin Koh,Books,Credit Card,Cancelled,19,415.55,Central
ORD0008,Abigail Adams,Clothing,Credit Card,Pending,43,117.81,East
ORD0009,Olivia Jones,Electronics,PayPal,Shipped,30,319.66,East
ORD0010,Joshua Jackson,Food,Debit Card,Shipped,45,468.63,North
ORD0011,Patrick Smith,Home,Debit Card,Processing,30,192.83,Central
ORD0012,Andrew Anderson,Electronics,Debit Card,Pending,21,203.57,North
ORD0013,Mia Adams,Sports,Cash,Processing,42,252.11,West
ORD0014,Ava Miller,Clothing,Debit Card,Cancelled,35,135.05,Central
ORD0015,Madison Nelson,Books,Cash,Processing,9,257.21,North
ORD0016,Emma Koh,Clothing,Debit Card,Delivered,39,36.45,West
ORD0017,Patrick Young,Home,Cash,Cancelled,1,341.73,North
ORD0018,Benjamin Davis,Sports,Cash,Pending,19,220.2,West
ORD0019,James Miller,Home,Debit Card,Cancelled,7,435.9,East
ORD0020,Samuel Carter,Clothing,Debit Card,Shipped,49,84.97,Central
ORD0021,James Carter,Food,PayPal,Pending,8,464.89,East
ORD0022,Charlotte Lee,Clothing,Bank Transfer,Pending,6,367.29,North
ORD0023,Benjamin Teo,Clothing,PayPal,Cancelled,11,136.2,Central
ORD0024,Madison Brown,Home,Debit Card,Shipped,26,497.59,East
ORD0025,Justin Scott,Books,Credit Card,Processing,15,36.69,North
ORD0026,Scarlett Baker,Clothing,Bank Transfer,Processing,1,40.14,North
ORD0027,Andrew Chen,Electronics,Cash,Pending,33,122.81,West
ORD0028,Mia Green,Clothing,Bank Transfer,Cancelled,31,125.28,West
ORD0029,Aaron Williams,Electronics,Credit Card,Delivered,23,214.67,West
ORD0030,Emma Chua,Electronics,PayPal,Shipped,7,128.08,South
ORD0031,Benjamin Moore,Clothing,PayPal,Processing,18,234.0,North
ORD0032,Justin Baker,Electronics,Credit Card,Cancelled,1,484.64,South
ORD0033,Joshua Martin,Books,PayPal,Processing,26,451.7,South
ORD0034,Jason Tan,Books,Cash,Delivered,19,214.38,Central
ORD0035,Sofia Goh,Clothing,Cash,Processing,4,291.69,Central
ORD0036,Emma Anderson,Electronics,Credit Card,Cancelled,31,253.91,Central
ORD0037,Joshua Lee,Home,Credit Card,Processing,5,299.54,South
ORD0038,Emily Koh,Home,Debit Card,Cancelled,39,24.67,North
ORD0039,Aaron Nelson,Home,Bank Transfer,Shipped,17,106.11,East
ORD0040,Charlotte Miller,Books,Debit Card,Shipped,30,161.5,North
ORD0041,James Young,Home,Bank Transfer,Pending,5,271.12,Central
ORD0042,Ryan Teo,Food,Credit Card,Processing,24,146.07,West
ORD0043,Benjamin Wilson,Home,Bank Transfer,Pending,43,409.46,East
ORD0044,Daniel Teo,Food,Credit Card,Pending,48,278.84,East
ORD0045,Nathan Carter,Clothing,Cash,Processing,44,318.94,East
ORD0046,Samuel King,Food,Credit Card,Pending,41,214.67,East
