text,label
user@example.com,valid
john.doe@company.com,valid
test123@gmail.com,valid
admin@website.org,valid
support@service.net,valid
info@business.co.uk,valid
contact@domain.edu,valid
hello@world.io,valid
email_test@test.com,valid
my.email@example.com,valid
invalid,invalid
test@,invalid
@example.com,invalid
test@@example.com,invalid
test@example,invalid
test.example.com,invalid
test @example.com,invalid
test@exam ple.com,invalid
@,invalid
email,invalid
test@.com,invalid
test@example.,invalid
123,invalid
abc,invalid
test@gmial.com,invalid
info757_23@company.org,valid
info486@outlook.edu,valid
contact555-59@mail.edu,valid
user189_96@example.io,valid
support652.admin@outlook.com,valid
admin993@mail.net,valid
test17-53@outlook.com,valid
john589.info@gmail.sg,valid
john545.sarah@example.uk,valid
john728_33@example.io,valid
test844_24@example.org,valid
hello801.admin@company.net,valid
john483@company.uk,valid
test756.support@outlook.org,valid
user340@mail.uk,valid
support651@company.com,valid
support717@example.edu,valid
contact229.test@outlook.edu,valid
info581@hotmail.org,valid
user364-99@hotmail.sg,valid
admin304.john@hotmail.net,valid
hello747.test@yahoo.net,valid
john957-59@example.net,valid
user993_79@yahoo.uk,valid
admin409@mail.com,valid
support555-3@yahoo.io,valid
john321@mail.sg,valid
support549-24@company.edu,valid
info614-12@company.net,valid
sarah141-80@hotmail.com,valid
john203_81@mail.edu,valid
support264_32@mail.org,valid
test791_40@gmail.edu,valid
test640@hotmail.io,valid
info347@hotmail.io,valid
test689-89@company.org,valid
contact65-68@yahoo.com,valid
user3@mail.edu,valid
info634.admin@gmail.uk,valid
test694_91@hotmail.net,valid
sarah968@outlook.edu,valid
john100.info@yahoo.io,valid
support54_89@yahoo.edu,valid
hello351.info@mail.uk,valid
contact398_11@hotmail.io,valid
hello906_77@mail.sg,valid
sarah299_77@yahoo.edu,valid
user199-7@gmail.net,valid
info247_41@outlook.net,valid
sarah748.john@hotmail.uk,valid
john454@mail.org,valid
info709@hotmail.uk,valid
info303_30@company.edu,valid
contact970.user@company.edu,valid
sarah267_34@mail.org,valid
support308@mail.edu,valid
support718.contact@yahoo.uk,valid
admin375.hello@hotmail.com,valid
hello342_38@gmail.org,valid
user72_10@hotmail.sg,valid
info354.user@outlook.org,valid
admin512.contact@yahoo.com,valid
support554@yahoo.uk,valid
hello371-95@outlook.net,valid
admin862@hotmail.io,valid
admin649_81@outlook.sg,valid
support885.support@hotmail.org,valid
sarah144@hotmail.uk,valid
john676@hotmail.edu,valid
hello523.contact@example.net,valid
user318_83@example.org,valid
test702@outlook.io,valid
user735.test@outlook.com,valid
info63@yahoo.org,valid
support483.hello@mail.uk,valid
hello147@example.uk,valid
john661-96@mail.sg,valid
info457.info@hotmail.uk,valid
admin944.hello@gmail.com,valid
info461.user@yahoo.sg,valid
test230_23@yahoo.uk,valid
hello253-80@hotmail.edu,valid
test868_32@gmail.com,valid
john789_10@example.com,valid
admin983.john@outlook.sg,valid
john96_12@hotmail.org,valid
admin496-41@hotmail.edu,valid
hello959_67@gmail.edu,valid
test375-75@yahoo.sg,valid
admin121_35@company.org,valid
john154.john@outlook.edu,valid
john639.support@example.com,valid
contact286.hello@example.edu,valid
info944_63@gmail.uk,valid
