text,label
+6591234567,valid
+65 9123 4567,valid
+65-9123-4567,valid
+1234567890,valid
+12345678901,valid
+44 20 1234 5678,valid
+61 2 1234 5678,valid
+81-3-1234-5678,valid
(65) 9123 4567,valid
65 9123 4567,valid
123,invalid
abc,invalid
+,invalid
invalid_phone,invalid
12345,invalid
++65,invalid
phone123,invalid
test,invalid
+65 abc,invalid
@#$%,invalid
123456,invalid
+6,invalid
call me,invalid
phone number,invalid
65-123,invalid
+65 8685 9094,valid
+6586859094,valid
8685 9094,valid
+65 6108 5295,valid
+6561085295,valid
6108 5295,valid
+65 8781 5774,valid
+6587815774,valid
8781 5774,valid
+65 6146 8728,valid
+6561468728,valid
6146 8728,valid
+65 6650 1477,valid
+6566501477,valid
6650 1477,valid
+65 6189 2624,valid
+6561892624,valid
6189 2624,valid
+65 8377 2903,valid
+6583772903,valid
8377 2903,valid
+65 8771 1735,valid
+6587711735,valid
8771 1735,valid
+65 8021 3709,valid
+6580213709,valid
8021 3709,valid
+65 9774 4107,valid
+6597744107,valid
9774 4107,valid
+65 9773 9906,valid
+6597739906,valid
9773 9906,valid
+65 8320 8589,valid
+6583208589,valid
8320 8589,valid
+65 6333 6936,valid
+6563336936,valid
6333 6936,valid
+65 8814 8513,valid
+6588148513,valid
8814 8513,valid
+65 8823 2557,valid
+6588232557,valid
8823 2557,valid
+65 8887 6263,valid
+6588876263,valid
8887 6263,valid
+65 6305 6748,valid
+6563056748,valid
6305 6748,valid
+65 9787 2419,valid
+6597872419,valid
9787 2419,valid
+65 8771 3751,valid
+6587713751,valid
8771 3751,valid
+65 9162 7814,valid
+6591627814,valid
9162 7814,valid
+65 8369 6886,valid
+6583696886,valid
8369 6886,valid
+65 9243 7521,valid
+6592437521,valid
9243 7521,valid
+65 9222 5055,valid
+6592225055,valid
9222 5055,valid
+65 8787 9919,valid
+6587879919,valid
8787 9919,valid
+65 6495 6486,valid
+6564956486,valid
6495 6486,valid
+65 8496 6509,valid
+6584966509,valid
8496 6509,valid
+65 6110 9245,valid
+6561109245,valid
6110 9245,valid
+65 6694 0279,valid
+6566940279,valid
6694 0279,valid
+65 6676 3860,valid
+6566763860,valid
6676 3860,valid
+65 6540 8236,valid
+6565408236,valid
6540 8236,valid
+65 9264 8364,valid
+6592648364,valid
9264 8364,valid
+65 9464 9247,valid
+6594649247,valid
9464 9247,valid
+65 6730 9560,valid
+6567309560,valid
6730 9560,valid
+65 6046 2672,valid
+6560462672,valid
6046 2672,valid
+65 6383 9539,valid
+6563839539,valid
6383 9539,valid
+65 9603 9910,valid
+6596039910,valid
9603 9910,valid
+65 9990 8472,valid
+6599908472,valid
9990 8472,valid
+65 9197 4369,valid
+6591974369,valid
9197 4369,valid
+65 9200 0761,valid
